,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
265595,105,90,75,-5.85937,6.83594,1018.55469,-1.80153,-0.87786,-0.42748,-46.80000,-20.55000,10.65000,34.17969,418.45703,923.82812,-0.91603,-0.00763,-0.77099,16.20000,-75.75000,57.00000,-3.41797,-191.89453,991.21094,-0.16031,0.58015,-0.87023,-21.30000,43.05000,19.05000,
270597,102,89,91,-13.67187,2.92969,1033.20313,-1.77863,0.29771,-0.82443,-46.80000,-20.55000,10.65000,23.92578,413.57422,922.85156,-0.31298,1.50382,-1.31298,16.20000,-75.75000,57.00000,0.00000,-200.19531,1013.18359,1.18321,0.41985,1.81679,-21.30000,43.05000,19.05000,
275592,107,88,78,-15.62500,11.71875,1028.32031,2.86260,-0.90840,-0.80153,-46.95000,-21.45000,10.80000,20.01953,437.50000,905.76172,2.25954,0.66412,0.54198,14.55000,-76.65000,56.10000,-7.32422,-188.47656,998.53516,1.32061,0.30534,-0.35878,-21.30000,43.05000,19.05000,
280595,104,88,75,-3.90625,5.37109,1021.48437,0.27481,0.79389,0.42748,-46.95000,-21.45000,10.80000,33.20313,426.26953,922.85156,1.02290,-0.25191,0.49618,14.55000,-76.65000,56.10000,-15.62500,-191.40625,1009.27734,-1.63359,-0.47328,1.27481,-21.30000,43.05000,19.05000,
285595,111,89,77,-6.83594,-0.97656,1019.04297,-1.59542,2.32061,-0.57252,-45.45000,-21.15000,10.65000,37.10938,417.48047,922.36328,1.19084,2.54198,-1.57252,16.65000,-74.85000,55.65000,1.46484,-189.94141,1004.88281,-0.34351,0.09160,-0.96183,-20.55000,43.80000,19.80000,
290597,110,90,76,-13.67187,-6.34766,1011.23047,-0.25191,1.68702,-3.31298,-45.45000,-21.15000,10.65000,32.71484,420.89844,924.80469,1.71756,-0.14504,2.57252,16.65000,-74.85000,55.65000,-0.48828,-199.21875,1009.27734,-1.74809,2.74046,0.98473,-20.55000,43.80000,19.80000,
295597,105,89,74,-4.88281,3.41797,1020.50781,1.41221,0.87786,0.52672,-45.45000,-21.15000,10.65000,28.80859,434.08203,908.69141,0.98473,0.96183,2.97710,16.65000,-74.85000,55.65000,-9.76562,-183.59375,1005.37109,-1.61069,0.51145,-1.00000,-20.55000,43.80000,19.80000,
300595,106,89,75,-9.76562,1.46484,1021.97266,2.20611,-2.42748,-0.39695,-45.45000,-21.15000,10.65000,26.85547,433.59375,920.89844,1.59542,1.00763,-2.11450,16.65000,-74.85000,55.65000,-7.81250,-199.21875,1008.30078,-2.24427,1.72519,-0.84733,-20.55000,43.80000,19.80000,
305596,104,87,77,-13.18359,14.64844,1027.34375,0.98473,1.60305,0.22901,-45.75000,-20.85000,10.95000,32.71484,423.82812,910.64453,0.78626,2.90840,1.90076,14.70000,-75.45000,57.30000,-16.11328,-190.42969,1012.69531,1.45802,-0.31298,-0.05344,-20.40000,43.95000,17.85000,
310597,107,88,83,2.92969,4.88281,1023.92578,-0.00763,1.71756,-3.04580,-45.75000,-20.85000,10.95000,42.96875,429.19922,909.66797,-1.27481,-0.47328,3.15267,14.70000,-75.45000,57.30000,-10.25391,-187.01172,1005.85937,-1.21374,-0.99237,0.75573,-20.40000,43.95000,17.85000,
