Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
515779,-12.20703,8.30078,1020.99609,-6.83594,11.71875,1007.8125,-8.78906,-53.71094,1020.01953
520784,-8.78906,-1.46484,1029.29688,0.48828,0.48828,1011.71875,-11.71875,-63.96484,1025.39063
525790,-11.71875,11.23047,1021.48437,-20.01953,-11.71875,1019.04297,-5.85937,-66.40625,1029.78516
530788,-9.27734,0.48828,1024.90234,-10.25391,6.34766,1029.78516,-6.83594,-67.87109,1021.97266
535796,-6.34766,2.92969,1018.55469,0.0,-1.95312,1014.64844,-3.90625,-73.24219,1026.36719
540799,-12.69531,3.41797,1020.50781,-8.30078,3.90625,1013.67187,-4.88281,-74.70703,1026.36719
545801,-20.01953,4.39453,1020.50781,-8.78906,0.0,1012.69531,-7.8125,-61.03516,1014.64844
550798,-20.99609,2.44141,1016.60156,-4.88281,3.90625,1017.57812,-8.78906,-66.40625,1021.48437
555802,-20.01953,8.78906,1030.27344,-13.18359,2.92969,1019.04297,-6.34766,-59.08203,1022.94922
560802,-9.27734,8.30078,1020.50781,-7.32422,-4.39453,1021.48437,-8.30078,-68.35938,1006.83594
565801,-7.32422,8.78906,1014.16016,-5.85937,10.25391,1018.06641,-13.67187,-66.40625,1011.23047
570802,-8.30078,2.92969,1015.13672,-6.83594,-4.39453,1023.4375,4.39453,-77.14844,1019.04297
575802,-15.625,3.41797,1023.92578,-7.8125,2.92969,1020.01953,-5.85937,-58.10547,1012.69531
580801,-17.57813,13.67187,1032.71484,-19.04297,-0.97656,1011.23047,-2.92969,-61.52344,1029.29688
585802,-14.64844,11.23047,1002.44141,-13.67187,7.32422,1004.88281,-8.78906,-58.10547,993.16406
590801,-18.06641,7.32422,1033.20313,-18.55469,-1.46484,1036.13281,-17.57813,-65.91797,1019.53125
595800,-14.16016,10.74219,1037.10938,-22.46094,6.34766,1025.87891,-3.90625,-60.54688,1055.17578
600802,-5.37109,5.37109,1019.53125,-13.67187,-8.78906,1006.83594,2.44141,-74.70703,1028.32031
605801,-16.11328,1.46484,1012.20703,-6.34766,-0.97656,1008.30078,-7.32422,-58.10547,993.65234
610801,-25.39063,15.13672,1014.64844,-12.20703,6.83594,999.02344,-11.71875,-58.10547,1000.0
615802,0.48828,-2.92969,1021.97266,-2.92969,7.32422,1025.87891,-13.18359,-72.75391,1009.76562
620802,-13.18359,9.27734,1034.17969,-10.25391,3.41797,1032.22656,-8.30078,-65.91797,1040.03906
625800,-23.92578,2.92969,1026.85547,-7.32422,14.16016,1013.18359,-17.57813,-62.98828,1056.15234
630802,-9.27734,0.0,1022.94922,-6.83594,-4.88281,1018.06641,0.97656,-62.5,1001.46484
635801,-13.67187,-0.97656,1024.90234,-3.90625,0.48828,1016.11328,-18.55469,-69.33594,996.58203
640801,-21.97266,-4.88281,1012.20703,-0.48828,-0.97656,1005.85937,-1.46484,-70.80078,1006.34766
645919,-19.53125,17.57813,1010.74219,-6.34766,0.48828,1016.60156,-5.85937,-54.19922,1022.46094
650924,-4.39453,7.8125,1033.20313,-8.78906,3.41797,1018.06641,1.95312,-52.24609,1041.50391
655924,-21.97266,19.04297,1020.99609,-13.18359,0.97656,1012.69531,-5.37109,-63.96484,1036.13281
660924,-7.32422,-6.34766,1022.46094,-24.90234,11.23047,1014.16016,-16.60156,-68.35938,1014.64844
665925,-20.50781,1.95312,1019.04297,-21.48438,-1.95312,1016.11328,0.0,-73.24219,1005.85937
670921,-13.18359,14.64844,1019.04297,0.48828,1.46484,1006.34766,0.0,-74.21875,1019.53125
675921,-20.99609,18.06641,1016.60156,-9.27734,-4.88281,1020.50781,2.92969,-74.70703,1035.15625
680921,-9.27734,13.18359,1022.94922,-8.30078,4.39453,1011.23047,0.48828,-52.24609,1020.50781
685920,-18.55469,2.92969,1018.55469,-6.83594,-6.34766,1019.04297,-5.37109,-76.17188,996.09375
